Estado,Ciudad,Establecimiento,03-ene,06-ene,08-ene,10-ene,13-ene,15-ene,17-ene,20-ene,22-ene,24-ene,27-ene,29-ene,31-ene,05-feb,07-feb,10-feb,12-feb,14-feb,17-feb,19-feb,21-feb,24-feb,26-feb,28-feb,02-mar,04-mar,06-mar,09-mar,11-mar,13-mar,18-mar,20-mar,23-mar,25-mar,27-mar,30-mar,01-abr,03-abr,06-abr,08-abr,13-abr,15-abr,17-abr,20-abr,22-abr,24-abr,27-abr,29-abr,04-may,06-may,08-may,11-may,13-may,15-may,18-may,20-may,22-may,25-may,27-may,29-may,01-jun,03-jun,05-jun,08-jun,10-jun,12-jun,15-jun,17-jun,19-jun,22-jun,24-jun,26-jun,29-jun,01-jul,03-jul,06-jul,13-jul,15-jul,17-jul,20-jul,22-jul,24-jul,27-jul,29-jul,30-jul,31-jul,03-ago,05-ago,07-ago,10-ago,12-ago,14-ago,17-ago,19-ago,20-ago,21-ago,24-ago,26-ago,28-ago,31-ago,01-sep,02-sep,03-sep,04-sep,07-sep,09-sep,11-sep,14-sep,15-sep,16-sep,18-sep,21-sep,22-sep,23-sep,25-sep,28-sep,30-sep,02-oct,05-oct,06-oct,07-oct,08-oct,09-oct,12-oct,14-oct,15-oct,16-oct,19-oct,21-oct,22-oct,23-oct,26-oct,27-oct,28-oct,29-oct,30-oct,03-nov,04-nov,06-nov,09-nov,10-nov,11-nov,13-nov,16-nov,17-nov,18-nov,20-nov,23-nov,25-nov,27-nov,30-nov,01-dic,02-dic,03-dic,04-dic,07-dic,09-dic,11-dic,14-dic,16-dic,18-dic,21-dic,22-dic,23-dic,24-dic,27-dic,28-dic,30-dic,31-dic
Aguascalientes ,Aguascalientes ,Autoservicio,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.67,10.67,10.67,10.67,10.5,10.5,10.5,10.67,10.67,10.67,10.67,10.67,10.67,10.67,10.67,10.67,10.67,10.67,10.67,10.67,10.83,10.83,10.83,11.17,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,,,,,,,,,,,,,,,,,,,10.83,10.83,10.83,10.9,10.9,11.03,11.03,,11.03,11.03,11.03,10.8,11.03,11.1,11.1,11.1,,,,,,,11.1,,11.1,,11.1,11.1,11.1,11.1,11.1,,,11.1,11.1,,11.1,11.2,11.1,11.1,11.1,11.1,,11.1,,11.1,11.1,11.1,,11.1,11.1,11.1,,11.1,11.1,,11.1,,11.1,,11.1,11.1,11.1,,11.1,11.1,,,11.1,11.1,11.1,11.1,11.1,11.1,,11.1,,11.1,11.17,11.1,11.1,11.1,11.1,11.1,11.1,,11.1,,,11.1,11.3,
Baja California,Mexicali,Autoservicio,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12,12,12,12.33,12.33,12.33,12.33,12.33,12.33,12.33,12.33,12,12,12,12,12,12,12,12,12,12,12.33,11.97,11.97,12,12,12,12,12,12,11.97,11.97,12,12,12,12,12,11.67,11.8,11.8,11.67,11,,,,,,,,,,,,,,,,,,,,,11,11.93,11.93,11.93,11.93,,12,12,12,12,12.3,12.3,12.3,12.3,12.3,,12.3,11.97,12.3,12.3,12.3,12.3,12.3,,12.3,11.5,12.3,12.3,12.3,,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,,12.3,,12.3,12.3,12.3,,12.3,12.3,12.3,,12.3,12.3,,12.3,12.3,11.47,,11.47,11.47,11.47,,11.47,11.63,,,11.63,11.63,11.63,11.63,11.63,11.63,,11.47,,11.47,,,,,,,,,,,,,,
Baja California,Tijuana,Autoservicio,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,11.77,11.77,11.77,11.77,11.77,11.7,11.7,11.77,11.77,11.7,11.7,11.7,11.7,11.7,,,,,,,,,,,,,,,,,,,,,11.7,11.7,11.7,11.7,11.7,,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,,11.7,11.7,11.7,11.7,11.7,,11.7,,11.7,11.7,11.7,11.57,11.57,,,11.57,11.57,,11.57,11.57,11.57,11.57,11.67,11.67,,11.67,,11.67,11.67,11.67,,11.67,11.67,11.67,,11.67,11.67,,11.67,,11.67,,11.67,11.67,11.67,,11.67,11.67,,,11.43,11.43,11.43,11.43,11.43,11.43,,11.43,,11.43,,,,,,,,,,,,,,
Baja California Sur,La Paz,Autoservicio,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.67,11,11,11,11,11.13,11.13,11.13,11.13,10.67,10.67,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,,,,,,,,,,,,,,,,,,,11.07,11.07,,,,,,,,,,,,,,,,,,,,,11.07,,11.07,,11.07,11.07,11.07,11.07,11.07,,,11.07,11.07,,11.23,11.23,11.23,11.23,11.23,11.23,,11.23,,11.23,11.23,11.23,,11.23,11.23,11.23,,11.23,11.23,,11.23,,10.97,,10.97,10.97,10.97,,10.97,10.97,,,10.97,10.97,10.97,10.97,10.97,10.97,,10.97,,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,,10.97,,,10.97,10.97,
Campeche,Campeche,Autoservicio,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12.25,12,12,12,12,12,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,12.23,12.23,12.23,12.23,11.9,11.9,11.9,11.9,11.9,11.9,11.9,12,12,12,12,12,12,12,12,12,12,12,,,,,,,,,,,,,,,,,,,11.47,11.47,,,,,,,,,,,,,,,,,,11.97,11.97,11.97,11.97,,11.97,,12,12,12,12,12,,,12,12,,12,12,12,11.5,11.5,11.5,,11.5,,11.5,11.5,11.5,,11.5,11.5,11.5,,11.5,11.5,,11.5,,11.5,,11.5,11.5,11.5,,11.5,11.57,,,11.57,11.57,11.57,11.57,11.37,11.37,,11.37,,11.37,11.37,11.37,11.37,11.37,11.37,11.37,11.37,,11.43,,,11.43,11.43,
Coahuila,Piedras Negras,Autoservicio,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3,,13.3,,13.3,13.3,13.3,13.3,13.3,,,13.3,13.3,,13.3,13.3,13.3,13.3,13.3,13.3,,13.3,,13.3,13.3,13.3,13.3,13.3,13.3,13.3,,13.3,13.3,,13.3,,13.3,,13.3,13.3,13.3,,13.3,13.3,,,13.3,13.3,13.3,13.3,13.3,13.3,,13.3,,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,,13.3,,,13.3,13.3,
Coahuila,Saltillo,Autoservicio,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,,16,16,16,16,16,,16,,16,16,16,16,16,,,16,16,,16,16,16,16,16,16,,16,,16,16,16,,16,16,16,,16,16,,16,,16,16,16,16,16,,16,16,,16,16,16,16,16,16,16,,16,16,16,16,16,16,16,16,16,16,16,16,,,16,16,
Coahuila,Torreón,Autoservicio,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,11.77,11.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.43,12.37,,12.37,12.37,12.37,12.37,12.37,,12.37,,12.37,12.37,12.37,12.37,11.57,,,11.57,11.43,,11.43,11.43,11.43,11.43,11.43,11.53,,11.5,,11.97,11.97,11.97,,11.97,11.97,11.97,,11.97,11.97,,11.97,,11.97,,11.97,11.97,11.97,,,,,,,,,,,,,,,,11.97,11.97,11.97,11.97,11.97,11.97,11.97,,11.97,,,11.97,11.97,
Colima,Colima,Autoservicio,10.43,10.43,10.43,10.77,10.77,10.43,10.43,10.43,10.43,10.43,10.43,10.43,10.43,10.43,10.43,10.43,10.43,10.43,10.43,10.43,10.13,10.13,10.13,10.13,10.13,10.13,10.13,10.13,10.13,10.13,10.13,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.13,10.13,10.13,10.13,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,,,11.17,11.17,,11.33,11.17,11.17,11.5,11.17,11.17,,11.17,,11.17,11.17,11.17,,11.17,11.17,11.17,,11.17,11.17,,11.17,,11.17,,11.17,11.17,11.17,11.33,11.17,11.17,,,11.17,11.17,11.17,11.17,11.17,11.17,,11.17,,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,,11.17,,,11.17,11.17,
Chiapas,Tapachula,Autoservicio,9.83,9.83,9.83,10.53,11.03,11.03,10.23,10.23,11.2,11.2,11.2,11.2,11.03,11.03,10.6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.17,10.23,10.23,10.23,10.23,10.23,10,10,10,10,10,10,10,9.83,9.83,9.83,9.83,9.83,9.83,9.83,9.83,9.83,9.83,9.83,9.83,10.23,9.83,,,,,,,,,,,,,,,,,,,,,10.07,10.07,10.37,10.07,10.23,,10.67,11.97,11.97,11.9,11.9,11.9,11.9,11.9,11.5,,11.5,11.5,11.4,11.23,11.23,,10.9,,10.9,10.73,10.73,10.73,10.73,,,10.73,10.73,,10.8,10.73,10.3,10.3,10.3,10.3,,10.3,,10.3,10.3,10.3,,10.3,10.3,10.3,,10.43,10.3,,10.43,,10.3,,10.1,10.43,10.33,,10.43,10.33,,,10.03,10.43,10.43,10.43,10.53,10.53,,11.23,,11.23,11.23,10.2,10.33,10.33,10.33,10.33,10.33,,10.33,,,10.33,10.33,
Chiapas,Tuxtla Gutiérrez,Autoservicio,9.83,9.67,10,10,10,9.5,10,9.5,10,10,10,10,10,9.5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,,10,10,10,10,10,10,10.33,10.33,10,,10.33,10.33,10.33,10.33,10.33,,10.33,,10.33,10.33,10.33,10.33,10,,,10.33,10.33,,10.33,10.33,10.33,10.33,10,10,,10,,10,10.33,10,,10,10,10.33,,10.33,10.33,,10.33,,10.33,,10.33,10.33,10.33,,10.33,10.33,,,11.33,11.33,11.33,11.33,11.33,11.33,,11.33,,11.33,11.33,10.33,10,10.33,10,10.33,10,,10.33,,,10.33,10,
Chihuahua,Chihuahua,Autoservicio,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,,,,,,,,,,,,,,,,,,,13.6,13.6,13.6,13.6,13.6,13.6,13.6,,13.6,13.6,13.93,13.93,13.93,13.93,13.93,13.93,13.93,,13.93,13.93,13.93,13.93,13.93,,13.93,,13.93,13.93,13.93,13.93,13.93,,,13.93,13.46,,13.46,13.46,13.46,13.46,13.46,13.46,,13.46,,13.46,13.46,13.46,,13.46,13.46,13.46,,13.46,13.6,,13.6,,13.46,,13.46,13.46,13.46,,,,,,,,,,,,,,,,13.8,13.8,13.8,13.8,13.8,13.8,13.8,,13.8,,,13.8,13.8,
Chihuahua,Cd. Juárez,Autoservicio,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.13,11.13,11.13,11.13,11.13,11.3,11.3,11.3,11.3,11.16,11.3,11.16,11.16,11.16,11.16,11.16,11.16,11.16,11.16,11.16,11.16,11.16,11,11,11,11,11,11,11,,,,,,,,,,,,,,,,,,,11.16,11.16,11,11.16,11.16,11.16,11.16,,11.16,11.13,11.13,11.29,11.29,11.29,11.29,11.29,11.29,,11.29,11.29,11.29,11.29,11.56,,11.56,,11.56,11.56,11.56,11.56,11.56,,,11.73,11.73,,11.73,11.73,11.73,11.49,11.49,11.49,,11.66,,11.66,11.66,11.66,,11.66,11.66,11.66,,11.83,11.83,,11.83,,11.83,,11.66,11.66,11.66,,,,,,,,,,,,,,,,11.83,11.83,11.83,11.83,11.33,11.33,11.33,,11.33,,,11.33,11.49,
D.F.,D.F.,Autoservicio,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,,11.93,11.93,11.93,11.93,11.93,,11.93,,11.93,11.93,11.93,11.93,11.93,,,11.93,11.93,,11.93,11.93,11.93,11.93,11.93,11.93,,11.93,,11.93,11.93,11.93,,11.93,11.93,11.93,,11.93,11.93,,12.23,,11.93,,11.93,11.93,11.93,,11.93,11.93,,,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,,11.93,,,11.93,11.93,
D.F.,ZM D.F.,Autoservicio,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.33,,11.33,11.33,11.33,11.33,11.33,11.33,11.33,11.33,11.33,,11.33,11.33,11.33,11.33,11.33,,11.33,,11.33,11.33,11.33,11.33,11.33,,,11.33,11.33,,11.33,11.33,11.33,11.33,11.33,11.33,,11.33,,11.33,11.33,11.33,,11.33,11.33,11.33,,11.33,11.33,,11.33,,11.33,,11.33,11.33,11.33,,11.33,11.33,,,11.33,11.33,11.33,11.33,11.33,11.33,11.33,11.33,,11.33,11.33,11.33,11.33,11.33,11.33,11.33,11.33,,11.33,,,11.33,11.33,
Durango,Durango,Autoservicio,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,,,,,,,,,,,,,,,,,,,11.63,11.3,11.3,11.3,11.3,11.3,11.3,,11.3,,,,,,,11.3,11.3,,11.3,11.3,11.63,11.63,11.63,,11.63,,11.63,11.63,11.63,11.63,11.63,,,11.63,11.63,,11.63,11.63,11.63,11.63,11.63,11.63,,11.63,,11.63,11.63,11.63,,11.63,11.63,11.63,,11.63,11.63,,11.63,,11.63,,11.63,11.63,11.63,,,,,,,,,,,,,,,,11.63,11.63,11.63,11.63,11.63,11.63,11.63,,11.63,,,11.63,11.63,
